test_year,test_month,model_type,test_loss_mse_unscaled,test_loss_rmse_unscaled,test_loss_mae_unscaled,test_loss_mse,test_rmse,test_mae,theil_u1,bias_proportion,variance_proportion,covariance_proportion,sum_of_proportions
2023,1,PimentelMLP,1614.583835890328,40.18188442433142,31.661586004306656,8.170593355316669e-05,0.009039133787155151,0.007122445851564407,0.047747876,0.03919357,0.099482864,0.8613239091655259,1.0000003439208514
2023,2,PimentelMLP,1496.6070338362163,38.686005658845374,31.42312608574025,7.573571929242462e-05,0.008702627383172512,0.007068803068250418,0.045970336,0.43806264,0.10756301,0.4543748235569556,1.0000004505978186
2023,3,PimentelMLP,2290.9146814051082,47.86350051349262,41.336231537758806,0.0001159316161647439,0.010767154395580292,0.009298810735344887,0.056875896,0.71433747,0.0015724562,0.2840894474111332,0.9999993456922306
2023,4,PimentelMLP,3453.3452631022087,58.765170493262495,52.27914975916516,0.0001747563510434702,0.013219544664025307,0.011760477907955647,0.06983028,0.78230053,0.01228137,0.20541776628399877,0.9999996563901999
2023,5,PimentelMLP,8546.918650939284,92.44954651559566,79.08167730086248,0.0004325163608882576,0.02079702727496624,0.017789853736758232,0.10985721,0.7106611,0.020555887,0.26878306380027844,1.0000000905107886
2023,6,PimentelMLP,1907.0234286814784,43.66947937268635,35.636654446039756,9.650481661083177e-05,0.009823686443269253,0.008016659878194332,0.051892165,0.62705594,8.657226e-05,0.37285649501603396,0.9999989839724854
2023,7,PimentelMLP,3167.0577786067165,56.276618400599695,46.11059514470204,0.00016026879893615842,0.012659731321036816,0.0103728286921978,0.06687315,0.4223101,0.1752868,0.4024047493751134,1.000001633148917
2023,8,PimentelMLP,1793.3544385015184,42.348015756367126,31.423839986489796,9.075261186808348e-05,0.009526416659355164,0.007068963255733252,0.05032188,0.2682462,0.324221,0.4075322736752363,0.9999994625103803
2023,9,PimentelMLP,1681.1787170006196,41.00217941769217,30.54971762974242,8.507596794515848e-05,0.009223663248121738,0.006872325204312801,0.048722632,0.05792266,0.34136382,0.600714231251749,1.0000007100096073
2023,10,PimentelMLP,716.5897915732431,26.769194824896083,19.727356804905504,3.626298712333664e-05,0.006021875888109207,0.004437776282429695,0.031809665,0.040377755,0.25443497,0.7051870023744751,0.9999997412698913
2023,11,PimentelMLP,2102.600455794498,45.85412147009795,38.49572814246517,0.00010640198888722807,0.010315134190022945,0.008659823797643185,0.054488163,0.48673147,0.06020986,0.45305885315316957,1.0000001931228046
2023,12,PimentelMLP,3155.6099943186737,56.17481637102763,45.4286576079612,0.00015968948719091713,0.012636831030249596,0.010219423100352287,0.06675218,0.6234895,0.095638916,0.28086914959580184,0.9999975794854807
