test_year,test_month,model_type,test_loss_mse_unscaled,test_loss_rmse_unscaled,test_loss_mae_unscaled,test_loss_mse,test_rmse,test_mae,theil_u1,bias_proportion,variance_proportion,covariance_proportion,sum_of_proportions
2023,1,PimentelMLP,1939.7314670800324,44.04238262265147,30.026198569017904,9.816000965656713e-05,0.009907573461532593,0.00675455667078495,0.052335285,0.30874875,0.0919718,0.5992777442936258,0.9999982810024576
2023,2,PimentelMLP,1273.611214050741,35.68768995116861,30.089184555265838,6.445102917496115e-05,0.008028140291571617,0.006768725346773863,0.04240746,0.37965897,0.05071788,0.569621120255212,0.9999979777743618
2023,3,PimentelMLP,1658.5584787010014,40.72540335835854,33.210457156906365,8.393126336159185e-05,0.009161400608718395,0.0074708727188408375,0.048393745,0.38441926,0.07197716,0.5436028597999856,0.9999992905308053
2023,4,PimentelMLP,1046.422600453819,32.34845592070538,24.939197272093455,5.295416121953167e-05,0.007276961114257574,0.005610207561403513,0.038439468,0.38458633,0.008513781,0.6069008267091568,1.0000009393857772
2023,5,PimentelMLP,2340.3261739985587,48.37691778109224,34.98736512192644,0.0001184320863103494,0.010882650502026081,0.007870597764849663,0.057485987,0.21764031,0.16098416,0.6213761525785745,1.0000006216203987
2023,6,PimentelMLP,5993.365316338201,77.41682837948221,65.59381561382496,0.0003032939275726676,0.017415335401892662,0.014755685813724995,0.09199392,0.6819381,0.13842086,0.17964073321944124,0.999999724842366
2023,7,PimentelMLP,7796.369092132873,88.29705030256035,83.00804844826772,0.00039453484350815415,0.01986290141940117,0.018673112615942955,0.10492283,0.8837684,0.0217288,0.09450128684164126,0.9999984801781281
2023,8,PimentelMLP,3646.3071306018314,60.384659729121864,49.68363897980007,0.00018452118092682213,0.01358385756611824,0.01117660477757454,0.07175471,0.60599744,0.007414245,0.38658872443400905,1.0000003893967775
2023,9,PimentelMLP,889.8857841235845,29.830953456495227,22.284117862314297,4.503262243815698e-05,0.006710635032504797,0.0050129336304962635,0.035447933,0.14899269,0.19982614,0.6511826983201744,1.0000015369165185
2023,10,PimentelMLP,4752.414740962905,68.93775990676593,58.62526941693064,0.00024049570492934436,0.015507924370467663,0.013188072480261326,0.08191831,0.3942089,0.15282151,0.45297017509870247,1.0000006240122767
2023,11,PimentelMLP,5805.528668021827,76.19401989672042,63.551428410101174,0.0002937884710263461,0.017140258103609085,0.014296240173280239,0.09054087,0.60246366,0.056668147,0.3408684225946144,1.0000002475648597
2023,12,PimentelMLP,1145.423663894531,33.8441082597035,23.357235773769162,5.796410550829023e-05,0.0076134162954986095,0.005254337098449469,0.04021674,0.18680368,0.10950909,0.7036867605904263,0.9999995397785825
