month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,33.352194251432124,26.30367158515004,1112.3688613852619,0.03907469359348562,79,5.018375668441877e-05,8.084546425379813e-05,2756.2825865745544,./results/informer/month_01_January
2,February,28.664290098246692,19.83617201281569,821.6415268364434,0.0328955508195461,79,3.194672899553552e-05,8.833289030008018e-05,2753.9884881973267,./results/informer/month_02_February
3,March,33.75577376497059,22.860216091017527,1139.4522624718768,0.04104885159659748,39,5.208667789702304e-05,0.00011482567060738802,1341.334391593933,./results/informer/month_03_March
4,April,32.567135304494364,22.737374867590518,1060.6183019412433,0.036723935495141594,39,5.400261579779908e-05,0.00012313787010498345,1327.6098256111145,./results/informer/month_04_April
5,May,32.512874700098706,24.41118268520249,1057.0870212643185,0.03663393228184527,39,5.1185706979595125e-05,0.00011507252202136442,1329.184177160263,./results/informer/month_05_May
6,June,35.41997164438398,25.5309571395075,1254.574391288965,0.0367911025325364,44,4.9080201279139146e-05,0.00012061620509484783,1465.4275991916656,./results/informer/month_06_June
7,July,38.03086713079691,23.400263510296686,1446.346854720329,0.0371940858624331,41,5.5146047088783234e-05,0.0001262825826415792,1357.9482283592224,./results/informer/month_07_July
8,August,33.184288139382225,25.60076968537774,1101.1969793175438,0.03431538639220857,49,5.3234492952469736e-05,9.03544423636049e-05,1600.4352352619171,./results/informer/month_08_August
9,September,28.762271344474296,22.16501093027875,827.2682528931672,0.030440527340284046,100,2.6948066079057753e-05,6.26835972070694e-05,3231.6667399406433,./results/informer/month_09_September
10,October,22.878692887633907,17.070853748384838,523.4345882466703,0.025997816050445162,100,2.0282412151573226e-05,6.680190563201904e-05,3281.72496175766,./results/informer/month_10_October
11,November,23.947971212663553,15.987644460125646,573.5053252025623,0.02438726290875563,100,2.0811550712096505e-05,6.08642294537276e-05,3354.599335193634,./results/informer/month_11_November
12,December,36.45043892354991,25.01454342661906,1328.6344977194426,0.03420265092929088,46,3.68151486327406e-05,0.00010334444232285023,1578.5940186977386,./results/informer/month_12_December
