month,month_name,rmse,mae,mse,theil_u1,epochs_trained,best_val_loss,final_train_loss,training_time,results_dir
1,January,50.41741745360531,32.813983202656026,2541.915982691105,0.05879912986765547,90,0.00013896760356146842,0.00010797852883115411,2144.008113861084,./results/lstm_option_pricer/month_01_January
2,February,50.16940893336561,32.95671224952774,2516.9695927232647,0.05727153737889237,54,0.0001361956528853625,0.00012680914369411767,1295.7978885173798,./results/lstm_option_pricer/month_02_February
3,March,48.3819948510802,29.594281424815996,2340.817425769951,0.0585551745245797,74,0.0001245459570782259,0.00012206505198264495,1736.8570766448975,./results/lstm_option_pricer/month_03_March
4,April,48.408969510662004,31.665063025770678,2343.4283290842036,0.05433639184189496,68,0.00011965086741838604,0.0001212327042594552,1591.6698336601257,./results/lstm_option_pricer/month_04_April
5,May,45.12974596726125,29.388809078774777,2036.6939710695328,0.05058677005079022,58,0.00012997712474316359,0.00011690185056068003,1359.991728067398,./results/lstm_option_pricer/month_05_May
6,June,54.56609781636225,37.14183645430073,2977.4590309048135,0.056389986774740164,39,0.0001278320123674348,0.00013883225619792938,890.4847419261932,./results/lstm_option_pricer/month_06_June
7,July,73.33828923322159,49.67554957710635,5378.504667655665,0.0713621565331608,31,0.00014926136645954102,0.00013680936535820365,699.4570391178131,./results/lstm_option_pricer/month_07_July
8,August,47.81419701640712,30.7368714846261,2286.1974363237955,0.04915955563123306,68,0.0001262656442122534,9.631980356061831e-05,1527.6754059791565,./results/lstm_option_pricer/month_08_August
9,September,55.32844915782578,35.01827474601197,3061.237286210112,0.05825056067266823,39,0.0001289552601519972,0.00010958188795484602,863.5043981075287,./results/lstm_option_pricer/month_09_September
10,October,54.10153915433676,33.732185356590804,2926.9765388682335,0.06111946828235495,51,0.00013851755647920072,9.719559602672234e-05,1145.4557774066925,./results/lstm_option_pricer/month_10_October
11,November,46.38214043956683,30.32989214177112,2151.302951755701,0.046986603745679055,100,0.0001146245194831863,8.819623326417059e-05,2298.6715166568756,./results/lstm_option_pricer/month_11_November
12,December,50.41671429304218,31.094546462090623,2541.845080106244,0.047085859651187015,58,0.00010476569877937436,9.609021071810275e-05,1365.1980209350586,./results/lstm_option_pricer/month_12_December
