test_year,test_month,model_type,test_loss_mse_unscaled,test_loss_rmse_unscaled,test_loss_mae_unscaled,test_loss_mse,test_rmse,test_mae,theil_u1,bias_proportion,variance_proportion,covariance_proportion,sum_of_proportions
2023,1,PimentelMLP,8029.026651688274,89.60483609542665,78.8365426202929,0.00040630847797729075,0.020157095044851303,0.0177347082644701,0.106476866,0.67894727,0.00057025626,0.32048221281208444,0.999999720365185
2023,2,PimentelMLP,6155.2751653228825,78.4555617233277,64.5342470352431,0.0003114873543381691,0.017649004235863686,0.014517328701913357,0.09322826,0.61184233,0.03288666,0.35527159119844826,1.000000609409813
2023,3,PimentelMLP,2777.5476427692934,52.7024443718628,39.49914260328221,0.0001405576622346416,0.01185570191591978,0.008885546587407589,0.06262598,0.2544497,0.3612369,0.38431440934806665,1.0000010047879775
2023,4,PimentelMLP,5051.058999642466,71.07080272265445,54.274647573056924,0.0002556085819378495,0.015987763181328773,0.012209376320242882,0.08445299,0.52753097,0.23993552,0.23253359275562652,1.0000000782559622
2023,5,PimentelMLP,3160.7030947555213,56.22013068959838,46.0212310972273,0.00015994721616152674,0.012647024355828762,0.010352726094424725,0.066806026,0.4757563,0.16888617,0.3553571913668247,0.9999996636339756
2023,6,PimentelMLP,5104.119997582277,71.44312421487653,61.54098867083415,0.00025829373043961823,0.016071518883109093,0.013843979686498642,0.08489541,0.6365036,4.0219675e-07,0.36349591234176765,0.9999999068066419
2023,7,PimentelMLP,993.364867110561,31.51769133535261,23.733944924453613,5.026917642680928e-05,0.007090075872838497,0.005339079536497593,0.037452273,0.00313572,0.3295335,0.6673312249836534,1.0000004234966844
2023,8,PimentelMLP,851.4894297630539,29.180291803939415,21.97784501111047,4.3089577957289293e-05,0.006564265117049217,0.004944035317748785,0.034674756,0.0012425075,0.057999607,0.9407578957834022,1.0000000102081077
2023,9,PimentelMLP,2643.736289156939,51.417276174034534,44.78986424354134,0.0001337861322099343,0.011566595174372196,0.010075723752379417,0.06109882,0.5733654,0.0021592225,0.424475564433545,1.000000192595929
2023,10,PimentelMLP,6020.058837055143,77.58903812430685,65.5329010989891,0.00030464475275948644,0.017454074695706367,0.014741982333362103,0.09219856,0.64249456,0.005580748,0.3519253587996164,1.0000006413733162
2023,11,PimentelMLP,3092.3333327656787,55.60875230362284,44.09043083383204,0.00015648736734874547,0.012509491294622421,0.009918381460011005,0.06607953,0.34171066,0.21536238,0.442926807741345,0.9999998644391905
2023,12,PimentelMLP,5346.197663345342,73.11769733344549,59.02768314037554,0.00027054405654780567,0.01644822396337986,0.013278597965836525,0.0868853,0.5695821,0.012717081,0.4177003286089926,0.999999501487258
