test_year,test_month,model_type,test_loss_mse_unscaled,test_loss_rmse_unscaled,test_loss_mae_unscaled,test_loss_mse,test_rmse,test_mae,theil_u1,bias_proportion,variance_proportion,covariance_proportion,sum_of_proportions
2023,1,PimentelMLP,1553.6731587539407,39.41666092852032,28.500717884223583,7.86235395935364e-05,0.008866991847753525,0.006411391776055098,0.046838567,0.00071213325,0.028363056,0.9709243189790978,0.9999995094040169
2023,2,PimentelMLP,1739.180631572628,41.70348464544214,32.9717947039583,8.801114745438099e-05,0.009381425566971302,0.007417184300720692,0.049555987,0.47419053,0.00018382787,0.5256248614585974,0.9999992153442481
2023,3,PimentelMLP,1816.3598738612657,42.61877372545186,29.58572845473141,9.191679419018328e-05,0.009587324224412441,0.006655470002442598,0.050643615,0.28257874,0.006672775,0.7107481102071567,0.9999996165357394
2023,4,PimentelMLP,8251.579398165391,90.83820450760457,72.88324731520069,0.00041757075814530253,0.0204345490783453,0.016395483165979385,0.10794247,0.6226048,0.23174334,0.14565224518683048,1.0000003682604084
2023,5,PimentelMLP,2312.4420930500214,48.08785806261307,41.704150737030325,0.0001170210016425699,0.010817624628543854,0.009381575509905815,0.057142496,0.6601478,0.0022080874,0.33764166089422154,0.9999975607050126
2023,6,PimentelMLP,7021.777557351687,83.79604738501504,65.60683069444455,0.00035533669870346785,0.018850376829504967,0.014758613891899586,0.099574305,0.5313333,0.029913489,0.43875371303336996,1.0000005253769673
2023,7,PimentelMLP,1132.6987608284376,33.655590335461916,25.064856546784515,5.7320161431562155e-05,0.007571008056402206,0.005638475529849529,0.039992727,0.2892048,0.0003020329,0.7104921821518465,0.999999034778647
2023,8,PimentelMLP,1553.0101275564316,39.408249486071206,34.252003310797505,7.858999742893502e-05,0.00886510033160448,0.0077051748521625996,0.046828575,0.62675685,1.2722244e-05,0.3732323313810315,1.0000018740751233
2023,9,PimentelMLP,5393.010744659844,73.43712102649343,52.96782356905183,0.00027291299193166196,0.016520079225301743,0.011915399692952633,0.08726487,0.18906099,4.2927727e-06,0.8109348422953301,1.0000001198717765
2023,10,PimentelMLP,1053.5236339165067,32.45802880515862,24.34187102775514,5.331350985215977e-05,0.007301609963178635,0.005475836340337992,0.03856967,0.032748442,0.1464967,0.8207548800459082,1.0000000241747076
2023,11,PimentelMLP,2924.181813074426,54.0757044621189,42.13211866837321,0.00014797807671129704,0.012164624407887459,0.009477849118411541,0.06425782,0.44137987,0.00078085356,0.5578398095112546,1.0000005351048213
2023,12,PimentelMLP,10258.949986066067,101.28647484272551,95.95544921546697,0.0005191536038182676,0.022784942761063576,0.021585699170827866,0.12035809,0.886051,0.019331371,0.09461789005698376,1.0000002848476333
